Education index,,,,,,,,,,,,,,
HDI Rank,Country,1980,1985,1990,1995,2000,2005,2010,2011,2012,2013,2014,Lat,Long
171, Afghanistan,0.075,0.102,0.123,0.177,0.228,0.301,0.357,0.365,0.365,0.365,0.365,16.94042969,106.8164291
85, Albania,0.54,0.527,0.537,0.528,0.565,0.603,0.63,0.637,0.637,0.637,0.637,41.11113358,20.02745247
83, Algeria,,,0.381,0.424,0.493,0.563,0.633,0.642,0.642,0.642,0.642,28.21364594,2.654728174
34, Andorra,,,,,,,0.64,0.641,0.695,0.695,0.695,42.55065918,1.576233268
149, Angola,,,,,0.3,0.365,0.442,0.472,0.474,0.474,0.474,-12.33355522,17.53946495
58, Antigua and Barbuda,,,,,,,0.702,0.692,0.697,0.695,0.695,17.09273911,-61.81040955
40, Argentina,0.539,0.599,0.628,0.648,0.711,0.727,0.785,0.791,0.826,0.826,0.826,-37.07196426,-64.85450745
85, Armenia,,,0.634,0.632,0.667,0.672,0.705,0.705,0.705,0.705,0.705,40.29266357,44.9394722
2, Australia,,,0.873,0.894,0.895,0.905,0.928,0.932,0.932,0.932,0.932,-25.58524132,134.5041199
23, Austria,0.617,0.634,0.674,0.707,0.729,0.747,0.795,0.795,0.799,0.799,0.799,47.58843994,14.14021111
78, Azerbaijan,,,,0.618,0.64,0.673,0.69,0.697,0.704,0.704,0.704,40.3310051,47.80820084
55, Bahamas,,,,,0.7,0.69,0.674,0.684,0.694,0.704,0.714,25.03564835,-77.39512634
45, Bahrain,0.424,0.536,0.574,0.619,0.647,0.695,0.714,0.714,0.714,0.714,0.714,26.09424019,50.54299545
142, Bangladesh,0.203,0.219,0.251,0.291,0.344,0.385,0.427,0.446,0.446,0.446,0.446,23.73010445,90.30652618
57, Barbados,0.549,0.612,0.629,0.663,0.693,0.716,0.741,0.759,0.777,0.777,0.777,13.17809868,-59.54859543
50, Belarus,,,,,0.675,0.717,0.827,0.832,0.836,0.834,0.834,53.54347229,28.05409431
21, Belgium,0.627,0.655,0.705,0.804,0.835,0.792,0.819,0.826,0.829,0.829,0.829,50.64896393,4.64150238
101, Belize,,,0.573,0.623,0.675,0.703,0.718,0.719,0.731,0.726,0.726,17.22529221,-88.66973877
166, Benin,0.143,0.187,0.201,0.235,0.27,0.341,0.407,0.418,0.418,0.418,0.418,9.624112129,2.337738752
132, Bhutan,,,,,,,0.41,0.421,0.43,0.439,0.451,27.41687965,90.43476105
119, Bolivia (Plurinational State of),,,0.528,0.577,0.619,0.61,0.623,0.63,0.637,0.637,0.637,-16.71305466,-64.66664886
85, Bosnia and Herzegovina,,,,,,0.599,0.608,0.642,0.647,0.651,0.655,44.16533279,17.79024124
106, Botswana,0.281,0.367,0.46,0.518,0.579,0.613,0.643,0.643,0.643,0.643,0.643,-22.18675232,23.81494141
75, Brazil,0.36,0.415,0.463,0.524,0.582,0.599,0.651,0.655,0.662,0.67,0.677,-10.81045151,-52.97311783
31, Brunei Darussalam,,0.542,0.588,0.626,0.647,0.675,0.682,0.685,0.696,0.696,0.696,4.570384026,114.7481842
59, Bulgaria,0.579,0.611,0.632,0.647,0.677,0.715,0.747,0.749,0.751,0.751,0.751,42.76610184,25.28373337
183, Burkina Faso,,,,,,0.173,0.233,0.246,0.255,0.262,0.262,12.28498554,-1.745560646
184, Burundi,0.086,0.137,0.171,0.181,0.186,0.242,0.37,0.37,0.37,0.37,0.37,-3.365208149,29.88650894
122, Cabo Verde,,,,,0.442,0.455,0.502,0.514,0.518,0.527,0.53,15.18300247,-23.70345116
143, Cambodia,,,0.276,0.296,0.318,0.404,0.449,0.449,0.449,0.449,0.449,12.57042313,104.8139114
153, Cameroon,0.266,0.301,0.339,0.345,0.36,0.399,0.452,0.472,0.479,0.486,0.488,5.68547678,12.7228775
9, Canada,,0.767,0.806,0.822,0.805,0.847,0.865,0.874,0.874,0.874,0.874,62.83290863,-95.91332245
187, Central African Republic,0.176,0.209,0.214,0.209,0.245,0.279,0.335,0.342,0.342,0.342,0.342,6.574123383,20.48692322
185, Chad,,,,,0.182,0.202,0.251,0.27,0.27,0.27,0.27,15.36765289,18.66758156
42, Chile,0.528,0.575,0.624,0.616,0.65,0.708,0.74,0.746,0.75,0.75,0.75,-35.78622818,-71.67467499
90, China,0.362,0.37,0.405,0.433,0.47,0.524,0.587,0.596,0.612,0.614,0.614,36.55308533,103.9754333
97, Colombia,0.388,0.406,0.439,0.488,0.535,0.574,0.612,0.621,0.621,0.621,0.621,3.997607231,-73.27796936
159, Comoros,,,,,,0.404,0.452,0.461,0.471,0.473,0.473,-11.86610222,43.43264008
136, Congo,0.441,0.465,0.457,0.461,0.453,0.459,0.499,0.505,0.512,0.512,0.512,-2.879866123,23.65637779
176, Congo (Democratic Republic of the),0.246,0.254,0.263,0.282,0.31,0.36,0.44,0.46,0.462,0.471,0.471,-2.879866123,23.65637779
69, Costa Rica,0.445,0.463,0.503,0.545,0.584,0.602,0.644,0.654,0.659,0.664,0.664,9.884991646,-84.22723389
47, Croatia,,,0.498,0.553,0.655,0.708,0.759,0.772,0.779,0.779,0.779,45.44430542,15.73450375
67, Cuba,0.553,0.586,0.624,0.619,0.661,0.734,0.818,0.804,0.786,0.768,0.768,22.06633568,-79.45314789
32, Cyprus,0.466,0.514,0.546,0.655,0.676,0.728,0.765,0.77,0.775,0.775,0.775,35.11473846,33.48671722
28, Czech Republic,,0.688,0.692,0.747,0.817,0.849,0.863,0.866,0.862,0.866,0.866,49.73910522,15.33150101
172, C™te d'Ivoire,0.205,0.216,0.233,0.261,0.301,0.339,0.377,0.382,0.386,0.39,0.39,7.59875536,-5.552574635
4, Denmark,0.616,0.644,0.69,0.751,0.809,0.896,0.895,0.924,0.924,0.924,0.924,56.10176086,9.555907249
168, Djibouti,,,,0.17,0.188,0.244,0.294,0.306,0.306,0.306,0.306,11.74259186,42.63182831
